Название вакансии,URL,Название компании,Требования
Middle Backend Developer (Node.js),https://hh.ru/vacancy/34634443?query=Node, MedPoint24,"Разработка новой серверной части web-приложений. Поддержка и рефакторинг существующего back-end. Разработка архитектуры web-приложений. Участие в тестирование web... Опыт от 1,5-2 года по направлению backend/fullstack. Знание TypeScript, Node.js, Vanilla.js, Postgres, Redis, Javascript (ES6). "
Frontend-разработчик,https://hh.ru/vacancy/35056667?query=Node,АО Информтехника,"Разработка сервисов телефонии, мессенджера и др.. Разработка кроссплатформенного клиента десктопной версии, на основе Web-клиента. Устранение замечаний. Работа с системами... JavaScript, HTML, CSS3, ES6-7. Vue.js (Vuex,Vue Router, Vue CLI)."
Front-end Team Lead,https://hh.ru/vacancy/35651767?query=Node, MAXIMUM EDUCATION,"Руководить командой разработки: 4 front-end (vue.js) разработчика, 2 full-stack (vue.js + node.js) разработчика. Производить декомпозицию поступающих задач для... Успешный опыт работы на позиции Team Lead/ Senior. Уверенные знания JavaScript и современных стандартов (ES6+). Опыт принятия архитектурных..."
Senior Frontend Developer (React),https://hh.ru/vacancy/34901003?query=Node, ДомКлик,"Понимающее IT-руководство. Например, у нас есть квота 1 день в неделю на борьбу с тех. долгом/саморазвитие/рисеч/решение... Бизнес-руководство, нацеленное на результат. Глубоко прониклись идеями JavaScript/HTML/CSS, React, Redux, Webpack, Babel, Node.js, MongoDB."
Fullstack разработчик,https://hh.ru/vacancy/35435364?query=Node, Билайн,Работа в продуктовой команде. Разработка бэк и фронт-части приложений. Разработка API и механизмов интеграций. Разработка и поддержка витрин БД.  Желание учиться. Знание JS-фреймворков (Angular/React и др). Навыки базового владения HTML/CSS. Опыт работы с Git - мы работаем...
Backend разработчик Laravel + Vue.js,https://hh.ru/vacancy/35885819?query=Node,ООО Эйпис,"Выполнение поставленных задач согласно техническому заданию. Написание документации api методов. Vue.js (vuetify ,axios ) , java script ванильный , npm , базовые навыки node.js ( создания обработчиков на сокеты), socit.io ,redis (в качестве шины события..."
Senior Backend Developer (Node.js),https://hh.ru/vacancy/34564039?query=Node, Сбербанк для экспертов,"Разработка Backend сервисов и компонент портального решения на Node.js, TypeScript. Анализ требований и выработка технических решений. Оценка ресурсов и сроков... Опыт backend разработки с использованием Node.js. Знание реляционных БД (умение читать, писать и отлаживать сложные SQL запросы). Высокий уровень знаний..."
Full-stack js developer (middle),https://hh.ru/vacancy/35863857?query=Node, Homestretch AG,"Работа с node.js. Технологический стек: JS (ES6+). Замыкания, асинхронность и т.п. - Опыт работы с rdbms, желательно через orm. - Понимание принципов работы клиент..."
Frontend разработчик (JavaScript),https://hh.ru/vacancy/33403037?query=Node, Кадровое агентство Юнити," Знание шаблонов проектирования и умение их применять. Уверенное владение JavaScript (ES6 и новее), CSS и HTML. Владение React. "
"QA Engineer / Тестировщик - Junior, Middle",https://hh.ru/vacancy/35434202?query=Node, MAXIMUM EDUCATION,"Ручное функциональное тестирование web-проектов. Регрессионное и smoke-тестирование. Составление чек-листов и тест-кейсов. Регистрация найденных багов в Jira.  Опыт работы с таск-трекерами (Jira, YouTrack). Понимание методологий разработки (Waterfall, Agile, Kanban)."
Full-Stack Engineer,https://hh.ru/vacancy/35788483?query=Node, NVIDIA,"Architect and implement server-side and hybrid cloud solutions for internal tools and services. Crafting and developing a web UI... Native JavaScript development experience. Experience/understanding of the modern technology stack (AngularJS/ReactJS, node.js, Django etc.). Understanding of modern principles..."
Senior Backend Developer (Node.js),https://hh.ru/vacancy/35335224?query=Node, Сбербанк для экспертов,"Разработка Backend сервисов и компонент портального решения на Node.js, TypeScript. Анализ требований и выработка технических решений. Оценка ресурсов и сроков... Опыт backend разработки с использованием Node.js. Знание реляционных БД (умение читать, писать и отлаживать сложные SQL запросы). Высокий уровень знаний..."
"Программист NodeJs, Back-end",https://hh.ru/vacancy/35580747?query=Node,ООО А-КЛУБ,"Разработка сервисов компании: CRM, Мобильные приложения и другие сервисы. Участие в полном цикле разработки: аналитика, программирование, тестирование. Знание ООП. Опыт разработки от 6 лет, работа с NodeJS от 3-х лет. Знание NodeJs, typescript, (большим плюсом является..."
Разработчик JavaScript (FrontEnd Developer/JS программист),https://hh.ru/vacancy/35832549?query=Node,АО Концерн ГРАНИТ,"Разработка front-end приложений и их компонентов. JavaScript, ECMA6/7. ООП (наследование, архитектура). Работа c технологиями web-components, CSS, HTML 5. Опыт работы с Node.js. "
Fullstack developer PHP Laravel 5.8 + Vue.js,https://hh.ru/vacancy/35829183?query=Node, Школа программирования для детей Code-Class,Можешь проводить ревью кода и оценивать его качество. PHP Laravel 5.8 + Vue.js. Так же socket.io + node.js. Имеешь опыт в разработке от 3 лет и реальные...
"Разработчик JavaScript (Front-end/React, TypeScript, решения видеонаблюдения)",https://hh.ru/vacancy/35874290?query=Node, Netris,"Разработкой и развитием front-end в крупных высоконагруженных проектах решений видеонаблюдения (CCTV): сложные интерфейсы в комплексных web-приложениях для десктопных... Уверенно владеть JavaScript. Знание DOM-модели. Хорошо разбираться в Web: HTML, CSS, HTTP-протокол. Опыт использования одного или нескольких распространенных..."
Senior Frontend Developer,https://hh.ru/vacancy/34949195?query=Node, Badoo,"Design the architecture, plan, develop and release new features for our millions of global users. Take the lead on new... Extensive full-time development experience (ideally five or more years). Solid knowledge of foundations of JavaScript. Ability to write functional..."
Фронтенд-разработчик,https://hh.ru/vacancy/32047329?query=Node, Веб-Мост,"ЭлЖур - это IT-компания, разрабатывающая информационную систему учета успеваемости - электронный журнал для школ и электронный дневник для учеников и родителей.  От будущих коллег мы ждем разумной инициативы, желания профессионально развиваться самостоятельно и вместе с командой. Основные требования к кандидату: Уверенное..."
Frontend Developer,https://hh.ru/vacancy/35676964?query=Node, Глаголева Наталья,"OUR COMPANY: We are a multinational VoIP service provider delivering DID numbers in 110+ countries and outbound SIP trunking... Знание ES6, React. * Умение довести задачу от макета до работающего фронтенда. * Умение оценивать задачи по времени и укладываться в..."
Middle Front-end Developer,https://hh.ru/vacancy/35742039?query=Node, Akvelon,"Разработка компонентов интерфейса на ReactJS+Redux. Проведение пользовательских экспериментов и А/Б тестирований. Реализация нового функционала и баг-фиксинг.  Экспертиза в JavaScript, TypeScript и Node.js. Уверенные навыки работы с ReactJS и Redux. Опыт работы с AMP. Опыт работы с..."
.NET разработчик,https://hh.ru/vacancy/35828194?query=Node,ООО Е-пос,Разработка новых модулей платежной системы. Опыт работы от 5 лет в качестве разработчика. Готовность самостоятельно разбираться в чужом коде. Опыт работы с высоконагруженными проектами. 
Senior Front-end Developer,https://hh.ru/vacancy/35733538?query=Node, Akvelon,"Разработка компонентов интерфейса на ReactJS+Redux. Проведение пользовательских экспериментов и А/Б тестирований. Реализация нового функционала и баг-фиксинг.  Экспертиза в JavaScript, TypeScript и Node.js. Уверенные навыки работы с ReactJS и Redux. Опыт работы с AMP. Опыт работы с..."
Senior Frontend React разработчик,https://hh.ru/vacancy/34990533?query=Node, Билайн,"Развитие внутренних и внешних интерфейсов и запуск новых продуктов. Разработка и согласование архитектуры и технических решений, разработка web-приложений.  Умение верстать отзывчивые интерфейсы (плавность, быстрый отклик). Хорошее знание JavaScript (ES6+); Опыт с React-Redux. Представление о принципах..."
"Разработчик front end / Ведущий front end разработчик (JavaScript, React+Redux)",https://hh.ru/vacancy/32864174?query=Node, Movista,"Развитие фронтовой части разработки, которая написана на react js. Взаимодействие с командой бекэнда. Участие в принятии технических решений. Опыт разработки на JavaScript ES8. Опыт работы с React, Redux, ReactTransitionGroup. Опыт работы с Webpack (настройка: минификация, code splitting..."
JavaScript разработчик (React),https://hh.ru/vacancy/34596669?query=Node,АО Технологическая Компания Центр,"Разработка frontend части продукта Sport24.ru на React 16. Верстка десктопа и адаптива (дизайн команда за mobile first подход).  Опыт разработки на JavaScript от 2-х лет. Отличные знания HTML/CSS/SASS/LESS/Stylus. Кроссбраузерная и адаптивная верстка, css..."
JavaScript Developer,https://hh.ru/vacancy/35822563?query=Node, Бета Пресс - Кадровая Реклама,"В частности разрабатываем систему конфигурации большого количества сайтов по поиску работы на территории РФ. Владеете стандартным зоопарком современной frontend разработки... Обладаете уверенными знаниями HTML, CSS и JavaScript (ES5 & ES6). Опыт работы с WebSockets и canvas. Отличное знание нативного..."
Фронтенд-разработчик (React \ Redux),https://hh.ru/vacancy/35813367?query=Node, Банк Открытие,"Разработка и развитие финансовых сервисов для клиентов. Разработка интерфейса и реализация клиентской логики. Тесное взаимодействие с дизайнерами, аналитиками и product... Хорошее знание ES6+. Опыт работы с React (минимум один проект в продакшене). Знание архитектуры Redux или Flux. "
Full Stack Javascript разработчик (React/Node),https://hh.ru/vacancy/35805096?query=Node, Ассоциация Хоккейный Клуб Авангард,"Разработка IT– платформы для развития детско-юношеского хоккея ( Франшиза Хоккейной Академии ""Авангард""). Разработка web-приложений. Разработка технических решений и архитектуры... Отличные знания JavaScript, ReactJS, NodeJS. Наличие высшего образования (Информационные технологии). Опыт работы с базами данных PostgreSQL и построением SQL-запросов. "
Frontend-разработчик,https://hh.ru/vacancy/35672730?query=Node, Группа СМП Банк,"Разработка нового и доработка существующего функционала для системы интернет банкинга и интернет сайта. Проект интернет-банка для физических лиц. JavaScript HTML, CSS. React, Git/Git flow. Желательно: MobX, GraphQL,Webpack, Node.js. Опыт работы с Jira."
"Front-end Developer (JavaScript, React)/Разработчик Web-приложений",https://hh.ru/vacancy/35327401?query=Node,ООО АКСИТЕХ,"Разработка и проектирование новых Web-приложений. Поддержка существующих Web-приложений. Уверенное владение JS, ReactJS, HTML, CSS. Портфолио (опубликованные сайты, локальные проекты, прототипы, макеты и т.п.). Инициативность, готовность к обучению..."
Front-end разработчик (js),https://hh.ru/vacancy/35778151?query=Node,АО ИНЖИНИРИНГОВАЯ КОМПАНИЯ «АСЭ»," Понимание работы Node JS, использование Webpack со знанием узкой параметризации под проект. Знания особенностей потока выполнения JS, микротаски, очередь асинхронных..."
React Native Developer,https://hh.ru/vacancy/35079117?query=Node, BingoBoom,Проектирование и разработка мобильных приложений на React Native под iOS и Android. Развитие и доработка мобильных приложений. Участие в разработке... Отличное знание JavaScript. Обязательно знание React/React Native. Опыт работы с Redux/MobX. Опыт работы с WebSocket. Опыт разработки нативных...
Backend JavaScript Developer,https://hh.ru/vacancy/35659686?query=Node,АО Гринатом," Хорошее знание JavaScript. Опыт разработки на Node.js. Будет плюсом: Знание TypeScript. Опыт работы с базами данных, опыт использования ORM. "
Full Stack разработчик,https://hh.ru/vacancy/35193268?query=Node,ООО Черехапа Страхование,Cherehapa - marketplace по продаже страховок. Мы креативная команда неравнодушных людей. 
JavaScript разработчик,https://hh.ru/vacancy/35726559?query=Node, КРОК,"Умеешь конфигурировать Webpack. Налаживал на своих проектах CI/CD. Руководил даже небольшой командой разработки. Создавать удобные и красивые пользовательские интерфейсы.  С высшим техническим образованием. Глубоко понимаешь принципы работы JavaScript. Имеется опыт разработки бэкенда на JS (Node.js, SQL, RabbitMQ, Kafka). "
Full Stack Node.js/Vue.js developer,https://hh.ru/vacancy/35277162?query=Node, ZiMAD,Разработка бэкенда и фронтенда. Разработка архитектуры модулей приложения. Написание документации. Опыт разработки с использованием Node.js. Опыт разработки с использованием Vue.js. Знание RabbitMQ. JavaScript (ES6). БД MySQL. Знание протокола WebSocket...
Team Lead JavaScript (Node.js / backend),https://hh.ru/vacancy/35233635?query=Node, OneTwoTrip,"Разработка одного из ключевых продуктов компании. Планирование и оценка задач. Работа с командой: распределение задач, консультирование, код-ревью.  Опыт разработки от 6 лет, работа с NodeJS от 2-х лет. Уверенное владение БД (SQL/MongoDB/Redis). "
Front-End Developer/Angular (м. Водный стадион),https://hh.ru/vacancy/34867789?query=Node, Star-staff,"Разработка web-интерфейсов. Разработка нового функционала приложения (чаты, дашборды и другие). Написание TypeScript кода. Верстка в условиях интерфейса с большим... Знание Angular 5+, Node.JS. Знания JavaScript / TypeScript. Отличные знания разметки HTML5 + CSS3, Angular Material, SASS, LESS. "
"Senior Frontend Developer (JavaScript, React)",https://hh.ru/vacancy/34746892?query=Node, HeadHunter::Frontend,"Работу над самым высоконагруженным job-сайтом в России. Продуктовая разработка проработка задачи с первых этапов, декомпозиция, кодинг, отслеживание результатов.  Очень хорошо знает JavaScript и React. Понимает на что нужно обращать внимание при разработке страниц. Командный игрок и хочет обсуждать..."
NodeJS разработчик (+React),https://hh.ru/vacancy/35684614?query=Node,ИП Котенков Максим Евгеньевич,"Описание проекта: Goodvice.io сервис для работы с онлайн-отзывами на внешних площадках: Яндекс Карты, Google Карты, 2ГИС, ДокДок и... Язык программирования JavaScript (React + NodeJS). База данных Google FireStore. Фоновые службы реализованы на основе Firebase Functions. Кандидаты с дополнительным..."
Frontend-разработчик (React),https://hh.ru/vacancy/34792703?query=Node, Почта Банк,"ТЕХНОЛОГИЧЕСКИЙ СТЕК: Разрабатываем платформу мобильного и интернет-банка на основе микросервисов в современном стеке технологий, которые выбираем сами. Опыт работе разработчиком frontend..."
VueJs Front-End разработчик,https://hh.ru/vacancy/35547670?query=Node, Wheelly,"Разработка новых функций и сервисов. Улучшение и оптимизация текущего UI. Взаимодействие с дизайнером и backend-разработком. Опыт разработки проектов на любом SPA фреймворке. VueX, Electron, Webpack, Node, Stylus, Nuxt. ES5 / ES6. Rest API. "
Back-end Developer (Node.js),https://hh.ru/vacancy/35566264?query=Node,ООО Hyundai Motor CIS,"Разработка API-методов и серверной логики. Работа с интеграциями внешних сервисов. Проектирование серверной архитектуры. Доработка существующего функционала. Высшее техническое образование. Опыт работы с языками программирования JavaScript, TypeScript (от 3-х лет и более). Уверенное знание Node.js. "
Frontend Developer (JavaScript),https://hh.ru/vacancy/33908303?query=Node, Кадровое агентство Юнити, Опыт коммерческой разработки от 1 года и разработки в целом от 2-х лет. Хорошие знания JavaScript (ecmascript 6 и...
Node.js/golang разработчик в команду DevOps,https://hh.ru/vacancy/35495695?query=Node,ООО Р-Вижн,"Хорошо разобраться в настройках сборки, конфигах, переменных окружения для наших продуктов (1 проект: Node.js, ExtJs, и два других проекта: Golang... Желание автоматизировать труд коллег. Опыт разработки на Node.js, в том числе. Знание ES10. Понимание асинхронности JS и Promises. "
Frontend Developer (React),https://hh.ru/vacancy/35542585?query=Node,АО ДОМ.РФ,"Разработка компонентов с бизнес-логикой сервиса. Жить в парадигме SCRUM. Участие в декомпозиции, описании задач и code-review.  Огонь в глазах при виде кода на JS. Отлично знает библиотеку Vanila.js. Изучил React + Redux вдоль и поперек. "
Frontend React JavaScript (React на классах; js) разработчик (программист),https://hh.ru/vacancy/35404315?query=Node, МТГ. Бизнес-решения,"Работа состоит в разработке как новых, так и поддержке старых веб-приложений комплекса (порядка 10 приложений). Хорошее знание HTML, CSS. Знание React (на классах) + Redux. Хорошее владение отладочными инструментами, например, Chrome DevTool. Умение проектировать архитектуру..."
Senior Backend Developer (Node.js),https://hh.ru/vacancy/35371861?query=Node, Diamond Personnel R&C,"Разработка Backend сервисов и компонент портального решения на Node.js, TypeScript. Анализ требований и выработка технических решений. Оценка ресурсов и сроков... Опыт backend разработки с использованием Node.js. Знание реляционных БД (умение читать, писать и отлаживать сложные SQL запросы). Высокий уровень знаний..."
JS разработчик,https://hh.ru/vacancy/35405083?query=Node, Сбербанк для экспертов,"Написание кода для нового функционала/развития текущего, написание автотестов, исправление багов, участие в ревью кода. Участие в обсуждении вопросов архитектуры... Высшее техническое образование. Понимание принципов Agile. Знание принципов проектирования ИС и понимание шаблонов проектирования. Опыт работы с с JavaScript (ES..."
Frontend (JavaScript) developer,https://hh.ru/vacancy/34604123?query=Node, Sports.ru,"Разрабатывать коммерческие спецпроекты. Разрабатывать редакционные спецпроекты. Интегрировать и поддерживать различные рекламные системы (Google Ad Manager, AdFox и т. д.).  Навыки разработки веб-интерфейсов с использованием JavaScript. Навыки кроссбраузерной верстки интерфейсов с помощью HTML и CSS. Навыки использования системы контроля..."
Frontend React Developer,https://hh.ru/vacancy/35909653?query=Node, Messapps,"...both visual and functional. Rapid prototyping. Production: Big bonus points for being a Full-stack JavaScript Developer (Node, MeteorJS, ReactJS). Advanced (3+ years) JavaScript development skills: Vanilla JavaScript. Advanced knowledge of React. Rich interactions including CSS and JS animations..."
Senior Front-End Developer,https://hh.ru/vacancy/35812256?query=Node, NVIDIA,NVIDIA is now seeking an extraordinary front-end (90% front / 10% back) developer to become a member of the Global... You will design mockups or/and MVP for new features for constantly improve UX. Bachelor or Master of Science in...
Front-end разработчик,https://hh.ru/vacancy/35851213?query=Node, Электронная торговая площадка Газпромбанка,"Анализ, планирование и декомпозиция задач, своевременное их выполнение. Проведение ревью кода коллег. Работа в команде по методологии Agile (Scrum).  Работа с реактивными формами. Generics – читая это, Вас не прошибает пот. Уверенное использование RXJS пайпов. Работа с технологией Websocket. "
Программист,https://hh.ru/vacancy/35903115?query=Node,ООО ТОНЛАЙН,"Разработка модулей к программному комплексу на базе Delphi. Оптимизация кода существующих модулей. Участие в разработке виджета на js, Node.js. Опыт разработки программных продуктов от 3 лет‚ включая анализ‚ разработку‚ тестирование. Опыт разработки и внедрения клиент-серверных приложений на Delphi. "
Web-программист,https://hh.ru/vacancy/35901959?query=Node,ООО ДокЛаб,"Frontend разработка. Backend разработка. Создание справочных документов по разработанному коду. HTML5‚ CSS (3.0), JavaScript, php. SVN или Git. Опыт работы в аналогичной области не менее 3 лет. "
Senior Frontend разработчик (React),https://hh.ru/vacancy/35900244?query=Node, Onlife Management OÜ,"Разработка административных веб-интерфейсов для пользователей системы (SPA). Взаимодействие с backend-разработчиками и тестировщиками. Участие в проектировании архитектуры веб-сервисов.  Опыт работы frontend-разработчиком от 5 лет. Отличное знание HTML5/CSS, JavaScript (ES5+), TypeScript, ES2015+. "
Full-stack разработчик,https://hh.ru/vacancy/35807177?query=Node, Waves,Развитие пользовательского интерфейса и инструментария блокчейн-платформы. Разработка новых модулей и сервисов. Разработка unit-тестов. Участие в code review.  Опыт front-end разработки от 2 лет. Опыт full-stack или back-end разработки. Отличное знание JavaScript ES6. 
"Middle JavaScript-разработчик (backend, NodeJS)",https://hh.ru/vacancy/35812309?query=Node,ООО ПИК-РЕМОНТ,Участвовать вместе с командой в создании центрального продукта компании (начиная генерацией идей и заканчивая разработкой и развертыванием). Развивать архитектуру приложения... Отсутствие каких-либо догм/предубеждений при принятии технологических решений.
Фронтенд программист,https://hh.ru/vacancy/35907827?query=Node,ОАО Объединённая теплоэнергетическая компания,"React/Redux, написание собственных компонентов, node js (server side rendering). Технологии: - Опыт реализации приложений на ReactJS/Redux не менее года. - Опыт разработки single page applications. - Уверенные знания JavaScript EcmaScript 2015..."
Fullstack (JavaScript/.Net) разработчик,https://hh.ru/vacancy/35448501?query=Node, Star-staff," Что хотели бы видеть у вас: Уверенные знания JavaScript. Опыт работы с C#, .Net (у нас 4.5). "
Back-end разработчик (Python),https://hh.ru/vacancy/35907167?query=Node,ООО Когнитивные системы,"Разработка проектов, реализующих функционал искусственного интеллекта (ИИ). Поддержка существующих вэб-приложений и сервисов: улучшение кода, создание новых фич и расширение... Python ООП + Функциональное программирование (map, reduce и т.д.). Навыки Linux bash, Jupyter notebook. PostgreSQL, Mysql (SQLAlchemy), Pandas. "
Frontend-разработчик / Ведущий Frontend-разработчик (JavaScript),https://hh.ru/vacancy/34966915?query=Node,ООО СПОРТТЕХКОНСАЛТ,"писать качественный, производительный, безопасный, тестируемый и документированный код; поддерживать и оптимизировать проекты. - продумывать и создавать адаптивные производительные компоненты для современных... развиваться, изучать и использовать новые технологии, помогать, делиться знаниями и опытом с коллегами. Требования: - знание HTML5, CSS3 (адаптивная..."
Frontend-разработчик,https://hh.ru/vacancy/35901239?query=Node,ООО Royal Software,"Активное участие в построении архитектуры приложения. В составе команды участвовать в полном цикле разработки приложений. Поддерживать работоспособность существующих сервисов.  Ruby-on-Rails, Sidekiq. Rest, GraphQL. Postgres, Redis, Mongo, InfluxDB. Docker, Gitlab, GitlabCI, NGINX, Swarm. Знание HTML5/CSS3. "
Full Stack Developer / PHP Программист,https://hh.ru/vacancy/35812136?query=Node,ООО Эфир,"Mysql, написание SQL запросов, проектирование реляционных БД. Готов вести проект с нуля. Full Stack Developer / PHP Программист уровня Middle и выше. Опытный и самостоятельный разработчик с отличным знанием PHP, фреймворков, JavaScript, MySQL..."
PHP-Разработчик (fullstack),https://hh.ru/vacancy/34976882?query=Node, ФГБОУВО МИРЭА,"Поддержка существующего программного кода в рамках информационной системы, проведение рефакторинга кода. Разработка новых информационных систем. Консультирование службы технической поддержки.  Опыт работы над реальными проектами. Широкий кругозор в информационных технологиях. Нацеленность на создание поддерживаемого продукта. Ответственность, исполнительность и умеренная инициатива. "
Frontend Developer,https://hh.ru/vacancy/35897633?query=Node,ООО КаргоОнлайн ЛАБ,"Проектирование и имплементация новых модулей и фич. Анализ и выбор новых инструментов и технологий для разработки новых частей системы.  Мы движемся быстро и достигаем невозможного благодаря команде драйвовых профи с горящими глазами, готовых подорвать статус-кво. У нас высокая..."
DevOps Engineer (Cyprus),https://hh.ru/vacancy/34948689?query=Node, IBIT, Требуемый опыт работы: 3–6 лет. Преимуществом будет: Опыт с WebSocket. Опыт защиты от DDOS-атак. Опыт оптимизации больших баз...
Senior / Lead DevOps Engineer (Cyprus),https://hh.ru/vacancy/34948535?query=Node, IBIT, Требуемый опыт работы: 3–6 лет. Преимуществом будет: Опыт с WebSocket. Опыт защиты от DDOS-атак. Опыт оптимизации больших баз...
Senior Backend Developer,https://hh.ru/vacancy/35894893?query=Node, Qlean,"Qlean B2C — уборка квартир. Qlean B2B — уборка и обслуживание офисов. Stirka — стирка и химчистка.  Уверенных знаний Node.JS или Go (event-loop, stream) и СУБД (PostgreSQL, MySql). Опыта работы с очередями (RabbitMQ). Понимания принципов работы..."
Full Stack developer (Chatbot),https://hh.ru/vacancy/35494075?query=Node, DigitalHR,As a Senior Full stack developer you will be working with a team to develop an AI-powered chatbot using... Solid experience (minimum 5 years) as a developer/Senior developer in web applications with SOA. Experience with NodeJS and Python. 
PHP-разработчик,https://hh.ru/vacancy/35494956?query=Node,АО ВРБ,"Разрабатывать микросервисы на PHP и Go. Участвовать в создании приложений от архитектуры до деплоя на production. Взаимодействовать с другими участниками... PHP 7. Знание и соблюдение принципов SOLID. Уметь писать тесты на PHPUnit. Git. Не бояться frontend, мы используем только новые..."
Senior Front-End Developer,https://hh.ru/vacancy/35788531?query=Node, NVIDIA,NVIDIA is now seeking an extraordinary front-end (90% front / 10% back) developer to become a member of the Global... You will design mockups or/and MVP for new features for constantly improve UX. Bachelor or Master of Science in...
C++ разработчик,https://hh.ru/vacancy/35908766?query=Node, Bell Integrator,"Разработка на языке С++ с использованием BitBucket, Jira, TeamCity, cmake, Visual Studio. Расширение функционала существующих SDK(C++), особенно для поддержки... Опыт разработки на стеке С++, QT, QML от 3-х лет (уровень Senior/ Expert). Готовность к краткосрочным командировкам в Италию..."
Разработчик,https://hh.ru/vacancy/35909242?query=Node,ООО Райффайзен Лайф,"Развитие ИТ систем в соответствии с требованиями внутреннего Заказчика, включая доработку модулей систем в соответствии с техническими спецификациями.  Высшее образование (техническое, математическое). Опыт разработки промышленного программного обеспечения и веб-приложений от года. Знание C#, JavaScript. Знание платформ .NET..."
Full-stack разработчик,https://hh.ru/vacancy/35533520?query=Node,АО КИВИ БАНК,Разработка внутренних информационных систем. Автоматизация текущих бизнес процессов. Опыт работы с фронтендом от двух лет. Умение читать и разбираться с чужим кодом. Уверенное знание JavaScript/TypeScript и его...
Ведущий frontend разработчик (React),https://hh.ru/vacancy/29268409?query=Node, М.Видео-Эльдорадо. ИТ,"JavaScript (ES5+), TypeScript. React, Redux-saga, Reselect, Recompose, Immutable.js. Node 10.x. Git, gitlab, concourse-ci.  Уверенное знание нативного JavaScript. Опыт профилирования и оптимизации JS-кода. Понимание приципов ООП. Практический опыт разработки и проектирования на React..."
Frontend-разработчик,https://hh.ru/vacancy/35875668?query=Node, Агентство КИТ Консалт," Уверенное знание JavaScript (vanilla js ES 6), jQuery, Redux (React, Angular)$. Уверенное знание Vue.js, Vue Router, Vuex. Умение верстать. "
Старший frontend-разработчик (angular),https://hh.ru/vacancy/35413769?query=Node, Галактика, Знание и хорошее владение HTML5/CSS3. Знания Angular и готовность его применять в работе. Опыт создания SPA приложений. 
Frontend-разработчик,https://hh.ru/vacancy/35885221?query=Node,ООО Диджитал Горизонт,"Горизонтальная структура управления. Опыт разработки — от 2-х лет. Опыт проектирования архитектуры приложений. Умение работать в команде, самостоятельно разбивать крупные задачи. "
Разработчик Python,https://hh.ru/vacancy/35489002?query=Node, OneTwoTrip,"Продумывание архитектуры приложения и воплощение в коде. Работа в команде над большим проектом. Использование современных NoSQL и SQL баз данных. Уверенное знание Python(3.5+), asyncio/tornado/django. Опыт работы с NoSQL и SQL БД (mongodb, redis, mysql). "
Full stack developer,https://hh.ru/vacancy/35681938?query=Node,ООО Облачные технологии,"Разработка сайта и фронтендов продуктов. Разработка бэкэнда. Разработка прототипов. Code review. Верстка HTML5/CSS3. Опыт разработки веб-приложений (все этапы / Full stack). Знание Javascript(ES6/ES7), HTML, CSS (PostCSS/SCSS). "
Java-разработчик,https://hh.ru/vacancy/31609149?query=Node,АО НПО АНГСТРЕМ,"Доработка серверной/клиентской стороны программного обеспечения на Java. Участие в проектах по разработке, внедрению и сопровождению программных продуктов (гос. заказчик).  Опыт разработки на Java от 3-х лет. Знание Java2EE, JBoss AS/WildFly, Spring, Maven, PostgreSQL. "
Программист Bitrix (FullStack),https://hh.ru/vacancy/35884004?query=Node,АО Агентство Медицинских Технологий,"Разработка нового, и поддержка существующего функционала в медицинском проекте на Битрикс. Знания PHP. Фундаментальные знания ООП. Навыки работы с СУБД MySQL, умение составлять SQL-запросы. Знания Bitrix Framework (наличие сертификатов разработчика..."
Senior Frontend Developer (React.JS),https://hh.ru/vacancy/33119452?query=Node, Сбербанк для экспертов,"Разработка Frontend сервисов и компонент портального решения на React, TypeScript. Анализ требований и выработка технических решений. Оценка ресурсов и сроков... Опыт разработки SPA приложений c использованием React (на JavaScript или TypeScript). Высокий уровень знаний JavaScript / TypeScript. Опыт в области семантической..."
Technical Manager/Interviewer,https://hh.ru/vacancy/35626791?query=Node, Soshace,Conducting technical interviews with developers including live coding (web developers). An interview lasts up to 2 hours. Updating online tests... Experience in conducting interviews. Commercial experience in web development. Good knowledge of at least one of programming languages: JavaScript or...
DevOps,https://hh.ru/vacancy/35908821?query=Node, Auriga,"Автоматизация развёртывания приложений. Настройка параметров безопасности. Написание скриптов на bash/sh. Контейнеризация приложений. Деплой приложений в JBoss. Автоматизация сборки приложений... Опыт работы в качестве DevOps от 3-х лет. Опыт сборки проектов на Java (gradle, etc), Java Play. "
