Название вакансии,URL,Название компании,Требования
Разработчик Node.js (backend),https://hh.ru/vacancy/35509097?query=Node,ООО ИММО,"Поддержка, модификация, рефакторинг имеющихся сервисов. Разработка новых сервисов. Опыт разработки на JavaScript. Опыт разработки backend приложений на каком либо языке (java, python, nodejs, go). Готовность к освоению телекоммуникационных..."
Frontend-разработчик (Middle),https://hh.ru/vacancy/35657029?query=Node,ООО Контент лайн,"Разработка клиентской части web-проектов. Сопровождение и документирование проектов. Уверенное владение JS (es6, es7). Кроссбраузерная адаптивная верстка. Опыт работы с ReactJS, Svelte/Sapper. Умение проектировать UI. "
Web developer (Node.js),https://hh.ru/vacancy/33696992?query=Node, Инград,"Разработка бизнес-приложений. Работа с базами данных и веб-сервисами. Разработка и поддержка Web-решений: корпоративный сайт, сайт продаж, личные... Опыт разработки веб-приложений (все этапы / Full stack). Уверенное владение React, Node.js (+ Express.js), SQL, HTML5, CSS (опыт от..."
Ведущий разработчик Node.js,https://hh.ru/vacancy/35876535?query=Node, ADV/web-engineering,"Писать качественный, понятный коллегам код и придерживаться высоких стандартов разработки. Участвовать в code review - чтобы держать планку и не пропускать... Уверенные знания Node.js и наличие реализованных проектов. Опыт работы с Elasticsearch/PostgreSQL/RabbitMQ/GraphQL. Умение работать с серверной инфраструктурой: Nginx..."
Frontend-разработчик,https://hh.ru/vacancy/35874790?query=Node, Quiet Media,"Верстать несложные макеты в Zeplin. Разрабатывать проекты различной сложности на React. Писать код на чистом JS для отображения рекламы в... Уверенные знания JS и CSS. Знания современных инструментов разработки клиентских приложений: Node.js, webpack, babel. React. Git. Zeplin, Sketch (или готовность..."
"Middle Frontend-разработчик (React + TypeScript, RxJS; Angular)",https://hh.ru/vacancy/35710689?query=Node, CSSSR,"Разрабатывать веб‑приложения. Учиться у сильных, помогать слабым и делиться знаниями. Работать: много и хорошо. JavaScript, TypeScript. Уверенное знание одного из фреймворков: React — Flux (Redux), RxJS, Angular. Babel (ES 2016+). Webpack или Gulp. Git. "
Senior Backend-разработчик (Node.js),https://hh.ru/vacancy/35828930?query=Node,ООО РегионКонсалт,"Решение бизнес задач. Проектирование архитектуры приложения. Разработка новых компонентов системы. Доработка существующего функционала. Хорошее знание современного JavaScript. Хорошее знание Typescript. Уверенное знание Node.js, знание лучших методов разработки бекенда на Node.js. Опыт разработки крупных..."
JavaScript разработчик,https://hh.ru/vacancy/35853991?query=Node,ООО Маркет Мьюзик,Разработка фронта системы управления медиа-платформы (Angular). Разработка внутренних проектов (Node.js+Angular). Разработка видео-плеера под Smart TV платформы WebOS... Имеете опыт создания сложных веб-интерфейсов. Хорошо знаете Angular 2+. Уверенно владеете нативным JavaScript. Пишите чистый и понятный код. 
Frontend Разработчик (React jQuery Node.js),https://hh.ru/vacancy/35144897?query=Node,ИП Баскаков Дмитрий Владимирович,"Бэкенд разработка на Node.js и Express. Разработка на фреймворке Strapi. Доработка существующих систем и разработка новых. Подключение новых сервисов и... Знаете основные понятия security, что такое cors, какие бывают способы аутентификации и как работает https handshake. - Опыт коммерческой разработки от..."
Middle Backend-разработчик (Node.js),https://hh.ru/vacancy/35828938?query=Node,ООО РегионКонсалт,"Разработка новых компонентов системы. Участие в проектировании архитектуры приложения. Доработка существующего функционала. Уверенное знание современного JavaScript. Уверенное знание Typescript. Уверенное знание Node.js. PostgreSQL, Redis, понимание транзакций и умение оптимизировать SQL-запросы. "
Code reviewer (Node.js),https://hh.ru/vacancy/35856669?query=Node, Яндекс,"Обучение азам коммуникации и грамотному подходу к проверке кода. Имеете опыт работы веб-разработчиком от 1 года. Постоянная практика и углубление знаний. Возможность стать частью сообщества разработчиков, делающих образование..."
Frontend-разработчик,https://hh.ru/vacancy/35743568?query=Node,ООО Овертим,"Создание новых, поддержка существующих проектов компании. Контроль качества кода и постановка задач менее опытным коллегам, оценка задач и участие в... Опыт разработки RIA/SPA приложений на базе фреймворка/библиотеки React не меньше 3 лет (желательно, но рассмотрим и с меньшим..."
BackEnd Node.JS developer (middle/senior),https://hh.ru/vacancy/35894509?query=Node,ООО Профцентр СПЕЦИАЛИСТ,"Проектирование и разработка сложных API интерфейсов информационно-рекламной системы. Интеграция сторонних API в собственный Back-end. Рефакторинг кода, проведение code... Опыт разработки серверного кода на Node.js от 3-х лет. Опыт работы с MongoDB и другими NoSQL от 3-х..."
React Frontend разработчик,https://hh.ru/vacancy/35804309?query=Node,ООО Декаст Инжиниринг,Использование Figma для работы с дизайнером. Опыт разработки на React с использованием Redux от года. Отличные знания чистого Javascript. Умение адаптивно и кроссбраузерно верстать. 
React Native Developer (Junior / Middle / Senior),https://hh.ru/vacancy/35198770?query=Node, Wiley,Разработка ведется для двух наиболее популярных мобильных платформ: iOS и Android. В работе используем все лучшие мировые практики: гибкие методологии... Обязательно: - знание React Native. - понимание нативной разработки под iOS и Android. - знание Redux-saga. - опыт тестирования с Jest / Detox. - 
Junior разработчик (JavaScript backend),https://hh.ru/vacancy/35572342?query=Node, Voximplant,"Бэкэндом телефонии. Реализацией кейсов для наших крупных клиентов. Созданием умных роботов (с использованием TTS и ASR), которые принимают.  Знание JavaScript. Внимания к деталям, аккуратность. Плюсом будет опыт работы с любыми языками программирования и широкий кругозор в IT. "
Middle/Senior Frontend Developer,https://hh.ru/vacancy/35778594?query=Node, Postuf, Используемые технологии: Vue.js. Опыт разработки на JavaScript. Уверенное знание принципов ООП и основных шаблонов проектирования. Знание любого современного frontend фреймворка...
Fullstack developer (NodeJs/React),https://hh.ru/vacancy/35635674?query=Node,ООО Солис,"Разработка проектов (frontend-части) с нуля. Доработка существующих проектов. Анализ, контроль и улучшение качества кода. Отличное знание Node.js. CSS3 и препроцессоров, ES6, typeScript, react, mobx, redux, webpack, web-sockets. Владение стеком современных веб..."
Backend-разработчик (node.js),https://hh.ru/vacancy/35877464?query=Node,ООО Кадровое решение,"Построение общей архитектуры решений (модули, взаимодействия, интеграции). Взаимодействие со смежными подразделениями компании (devOps, менеджеры,...). Ведение backlog, устранение тех. долга.  Успешный опыт в команде разработки (Backend), желательно в матричной структуре. Развитые аналитические способности. Опыт работы с высоконагруженными системами. "
Front-end разработчик (React),https://hh.ru/vacancy/35647553?query=Node, БАРС Груп,"Писать микроприложения и компоненты на React. Писать микросервисы на Node.js. Изучать исходники на Polymer, чтобы переехать на React и микросервисную... Front-end: React(Vue), typescript, Polymer, Redux/Mobx/Vuex. Межсервисное взаимодействие и API: RES/GraphQL/gRPC. Инструменты для работы: Git..."
Backend Node JS разработчик,https://hh.ru/vacancy/34821814?query=Node, Waves,"Работать в небольшой команде над созданием и развитием сервисов, предоставляющих удобный доступ к данным в блокчейне. — Писать тесты.  Уверенное знание JavaScript. — Опыт серверной разработки, в частности, на NodeJS. — Хорошее знание SQL. — Опыт разработки нагруженных отказоустойчивых систем. "
Node.js разработчик,https://hh.ru/vacancy/34720305?query=Node, Admitad,Разработка новых и поддержка существующих сервисов. - Разработка внутренних и публичных API для взаимодействия между сервисами. - Участие в формировании архитектуры системы. -  Что хотим: - Отличное знание JavaScript (либо TypeScript). - Опыт разработки на Node.js от 3 лет. - Знание любого из фреймворков для Node.js...
Фулл-стэк разработчик JavaScript,https://hh.ru/vacancy/35563141?query=Node, R2CMarket,"R2C Market занимается разработкой собственных роботизированных устройств и внедрением инновационных решений для автоматизации работы складов, магазинов и других... Знание JavaScript. Опыт разработки проектов на node.js, react. Навыки верстки UI. Умение использовать Linux, PostgreSQL (или другую РСУБД), git. "
"Full stack developer (Angular, Node.js)",https://hh.ru/vacancy/35513439?query=Node,ООО Визитек,"Разрабатывать бизнес и системные сервисы с использованием Node.js, Type Script, PostgreSQL, Sequelize, Express. Разрабатывать архитектуру микросервисов. Разрабатывать библиотеки для стандартных... Опыт разработки на JavaScript и TypeScript больше 2х лет. Опыт коммерческой разработки на Node.js. Знать JavaScript, Type Script, ES..."
Frontend разработчик (Middle) React/Фронтенд разработчик,https://hh.ru/vacancy/35853794?query=Node,ООО Гектар Групп,"Разработка UI на ReactJS - клиентская и клиент-серверная валидация форм. Доработки и исправления ошибок основного сервиса FireOffer. Доработка уже существующих... Знание Javascript (ES6+), Git (Feature Branch Workflow), Linux. Опыт разработки проектов на стеке React, Redux, React-Router. "
